reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ort-RDM-1_3,CAX41255,0.303,331,227,0,8,334,5,335,5.724E-21,88,2.48,0.84631,0.44094136357307434,46.0,31.0,0.6739130434782609
Ort-RDM-1_3,CCH57958,0.313,256,170,0,10,258,3,258,2.498E-20,86,2.67,0.82913,0.3638060986995697,44.0,28.0,0.6363636363636364
Ort-RDM-1_3,CCE41045,0.271,328,237,0,6,331,12,339,3.514E-19,82,2.84,0.8257,0.7606570720672607,49.0,29.0,0.5918367346938775
Ort-RDM-1_3,KGT65116,0.306,250,170,0,9,254,4,253,4.710E-19,82,2.74,0.8134,0.6808902621269226,43.0,36.0,0.8372093023255814
Ort-RDM-1_3,EER30950,0.308,280,190,0,8,283,2,281,8.461E-19,81,2.32,0.85621,0.4483487010002136,46.0,31.0,0.6739130434782609
Ort-RDM-1_3,EER31342,0.283,247,174,0,10,253,3,249,4.887E-18,79,2.73,0.82069,0.5038281083106995,45.0,21.0,0.4666666666666667
Ort-RDM-1_3,CCG25156,0.266,276,200,0,9,282,9,284,2.099E-17,77,2.68,0.83507,0.4616027772426605,47.0,17.0,0.3617021276595745
Ort-RDM-1_3,EJS41804,0.293,279,193,0,10,283,3,281,6.900E-15,69,2.52,0.8343,0.4087386131286621,46.0,30.0,0.6521739130434783
n.d.,EDO15092,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.75,0.82538,0.4337712824344635,46.0,29.0,0.6304347826086957
n.d.,KIJ46908,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.52,0.83768,0.6405029892921448,49.0,32.0,0.6530612244897959
n.d.,EDK46659,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.42,0.84139,0.4649835228919983,47.0,32.0,0.6808510638297872
n.d.,KOH48093,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.57,0.83311,0.36794811487197876,46.0,29.0,0.6304347826086957
n.d.,ODN80031,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.91,0.79372,0.6124532222747803,49.0,35.0,0.7142857142857143
n.d.,EIW07406,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.57,0.83337,0.34987592697143555,47.0,29.0,0.6170212765957447
